,sympt_now_fever,sympt_now_muscle_ache_myalgia,sympt_now_fatigue_weakness,sympt_now_sore_throat,sympt_now_cough,sympt_now_shortness_of_breath,sympt_now_headache,sympt_now_nausea_vomiting,sympt_now_abdominal_pain,sympt_now_diarrhoea,sympt_now_loss_of_taste,sympt_now_loss_of_smell
sympt_now_fever,0.0,0.8449612403100775,0.7302631578947368,0.9013157894736842,0.7403314917127072,0.9834710743801653,0.7204968944099379,0.875968992248062,0.8769230769230769,0.9448818897637795,0.9444444444444444,0.9603174603174603
sympt_now_muscle_ache_myalgia,0.8449612403100775,0.0,0.7529411764705882,0.8235294117647058,0.8809523809523809,0.9411764705882353,0.797979797979798,0.9454545454545454,0.9074074074074074,0.9555555555555556,0.9545454545454546,0.9767441860465116
sympt_now_fatigue_weakness,0.7302631578947368,0.7529411764705882,0.0,0.8076923076923077,0.7748344370860927,0.9873417721518988,0.7165354330708661,0.813953488372093,0.8426966292134831,0.9540229885057471,0.9285714285714286,0.9767441860465116
sympt_now_sore_throat,0.9013157894736842,0.8235294117647058,0.8076923076923077,0.0,0.7954545454545454,0.9811320754716981,0.7876106194690266,0.9295774647887324,0.9154929577464789,0.9516129032258065,0.9333333333333333,0.9310344827586207
sympt_now_cough,0.7403314917127072,0.8809523809523809,0.7748344370860927,0.7954545454545454,0.0,0.963963963963964,0.8072289156626506,0.9212598425196851,0.9302325581395349,0.9838709677419355,0.9583333333333334,0.9663865546218487
sympt_now_shortness_of_breath,0.9834710743801653,0.9411764705882353,0.9873417721518988,0.9811320754716981,0.963963963963964,0.0,1.0,0.967741935483871,0.96875,1.0,1.0,1.0
sympt_now_headache,0.7204968944099379,0.797979797979798,0.7165354330708661,0.7876106194690266,0.8072289156626506,1.0,0.0,0.8613861386138614,0.8952380952380953,0.96,0.97,0.9797979797979798
sympt_now_nausea_vomiting,0.875968992248062,0.9454545454545454,0.813953488372093,0.9295774647887324,0.9212598425196851,0.967741935483871,0.8613861386138614,0.0,0.7777777777777778,0.925,0.95,0.9743589743589743
sympt_now_abdominal_pain,0.8769230769230769,0.9074074074074074,0.8426966292134831,0.9154929577464789,0.9302325581395349,0.96875,0.8952380952380953,0.7777777777777778,0.0,0.8421052631578947,0.9512195121951219,1.0
sympt_now_diarrhoea,0.9448818897637795,0.9555555555555556,0.9540229885057471,0.9516129032258065,0.9838709677419355,1.0,0.96,0.925,0.8421052631578947,0.0,0.9666666666666667,0.9642857142857143
sympt_now_loss_of_taste,0.9444444444444444,0.9545454545454546,0.9285714285714286,0.9333333333333333,0.9583333333333334,1.0,0.97,0.95,0.9512195121951219,0.9666666666666667,0.0,0.6
sympt_now_loss_of_smell,0.9603174603174603,0.9767441860465116,0.9767441860465116,0.9310344827586207,0.9663865546218487,1.0,0.9797979797979798,0.9743589743589743,1.0,0.9642857142857143,0.6,0.0
