,sympt_now_fever,sympt_now_muscle_ache_myalgia,sympt_now_fatigue_weakness,sympt_now_sore_throat,sympt_now_cough,sympt_now_shortness_of_breath,sympt_now_headache,sympt_now_nausea_vomiting,sympt_now_abdominal_pain,sympt_now_diarrhoea,sympt_now_loss_of_taste,sympt_now_loss_of_smell
sympt_now_fever,0.0,0.5694716242661448,0.6189320388349514,0.7022175290390708,0.6308333333333334,0.7052631578947368,0.6239600665557404,0.7244755244755244,0.8203240058910162,0.8074179743223966,0.7293532338308458,0.7627118644067796
sympt_now_muscle_ache_myalgia,0.5694716242661448,0.0,0.41276252019386106,0.6244218316373727,0.5343099460292984,0.6295180722891566,0.4630225080385852,0.7268770402611534,0.8154362416107382,0.8082788671023965,0.6463844797178131,0.6908296943231441
sympt_now_fatigue_weakness,0.6189320388349514,0.41276252019386106,0.0,0.6065969428801288,0.49403508771929827,0.6286201022146508,0.4197802197802198,0.7554969217238346,0.8460176991150442,0.8160919540229885,0.612626656274357,0.6406858924395947
sympt_now_sore_throat,0.7022175290390708,0.6244218316373727,0.6065969428801288,0.0,0.6472019464720195,0.6882966396292005,0.6158285243198681,0.7767624020887729,0.8349788434414669,0.8237704918032787,0.7346938775510204,0.7428003972194638
sympt_now_cough,0.6308333333333334,0.5343099460292984,0.49403508771929827,0.6472019464720195,0.0,0.6462346760070052,0.5353393981805459,0.7806859205776173,0.859245630174793,0.828125,0.6697674418604651,0.6936236391912908
sympt_now_shortness_of_breath,0.7052631578947368,0.6295180722891566,0.6286201022146508,0.6882966396292005,0.6462346760070052,0.0,0.6737649063032368,0.7383900928792569,0.8187919463087249,0.8022690437601296,0.7089715536105032,0.7232142857142857
sympt_now_headache,0.6239600665557404,0.4630225080385852,0.4197802197802198,0.6158285243198681,0.5353393981805459,0.6737649063032368,0.0,0.7527472527472527,0.8308411214953271,0.8266423357664233,0.6444270015698587,0.668503937007874
sympt_now_nausea_vomiting,0.7244755244755244,0.7268770402611534,0.7554969217238346,0.7767624020887729,0.7806859205776173,0.7383900928792569,0.7527472527472527,0.0,0.7306733167082294,0.7551487414187643,0.7672090112640801,0.7879948914431673
sympt_now_abdominal_pain,0.8203240058910162,0.8154362416107382,0.8460176991150442,0.8349788434414669,0.859245630174793,0.8187919463087249,0.8308411214953271,0.7306733167082294,0.0,0.7485549132947977,0.857516339869281,0.8644986449864499
sympt_now_diarrhoea,0.8074179743223966,0.8082788671023965,0.8160919540229885,0.8237704918032787,0.828125,0.8022690437601296,0.8266423357664233,0.7551487414187643,0.7485549132947977,0.0,0.8405612244897959,0.8543307086614174
sympt_now_loss_of_taste,0.7293532338308458,0.6463844797178131,0.612626656274357,0.7346938775510204,0.6697674418604651,0.7089715536105032,0.6444270015698587,0.7672090112640801,0.857516339869281,0.8405612244897959,0.0,0.30451612903225805
sympt_now_loss_of_smell,0.7627118644067796,0.6908296943231441,0.6406858924395947,0.7428003972194638,0.6936236391912908,0.7232142857142857,0.668503937007874,0.7879948914431673,0.8644986449864499,0.8543307086614174,0.30451612903225805,0.0
