,sympt_now_fever,sympt_now_muscle_ache_myalgia,sympt_now_fatigue_weakness,sympt_now_sore_throat,sympt_now_cough,sympt_now_shortness_of_breath,sympt_now_headache,sympt_now_nausea_vomiting,sympt_now_abdominal_pain,sympt_now_diarrhoea,sympt_now_loss_of_taste,sympt_now_loss_of_smell
sympt_now_fever,0.0,0.6904761904761905,0.6390977443609023,0.7126865671641791,0.7165492957746479,0.8123324396782842,0.6825657894736842,0.8282548476454293,0.8742857142857143,0.9446064139941691,0.8092369477911646,0.8146718146718147
sympt_now_muscle_ache_myalgia,0.6904761904761905,0.0,0.5982905982905983,0.7175257731958763,0.7736549165120594,0.7623762376237624,0.6575091575091575,0.8205980066445183,0.8480565371024735,0.9111111111111111,0.7704918032786885,0.8130434782608695
sympt_now_fatigue_weakness,0.6390977443609023,0.5982905982905983,0.0,0.6462585034013606,0.6973478939157566,0.7718120805369127,0.5488,0.8296460176991151,0.8662131519274376,0.9241379310344827,0.7540106951871658,0.7628865979381443
sympt_now_sore_throat,0.7126865671641791,0.7175257731958763,0.6462585034013606,0.0,0.6694352159468439,0.8188073394495413,0.6273584905660378,0.8434579439252337,0.8904761904761904,0.9257425742574258,0.7730627306273062,0.775
sympt_now_cough,0.7165492957746479,0.7736549165120594,0.6973478939157566,0.6694352159468439,0.0,0.8361344537815126,0.6666666666666666,0.8921161825726142,0.9209401709401709,0.941834451901566,0.8108108108108109,0.8095238095238095
sympt_now_shortness_of_breath,0.8123324396782842,0.7623762376237624,0.7718120805369127,0.8188073394495413,0.8361344537815126,0.0,0.8342644320297952,0.8518518518518519,0.8711340206185567,0.949438202247191,0.8258426966292135,0.8447368421052631
sympt_now_headache,0.6825657894736842,0.6575091575091575,0.5488,0.6273584905660378,0.6666666666666666,0.8342644320297952,0.0,0.8390804597701149,0.877431906614786,0.935546875,0.7836990595611285,0.7776073619631901
sympt_now_nausea_vomiting,0.8282548476454293,0.8205980066445183,0.8296460176991151,0.8434579439252337,0.8921161825726142,0.8518518518518519,0.8390804597701149,0.0,0.7791411042944786,0.9155844155844156,0.8725212464589235,0.8973684210526316
sympt_now_abdominal_pain,0.8742857142857143,0.8480565371024735,0.8662131519274376,0.8904761904761904,0.9209401709401709,0.8711340206185567,0.877431906614786,0.7791411042944786,0.0,0.859504132231405,0.9178885630498533,0.9285714285714286
sympt_now_diarrhoea,0.9446064139941691,0.9111111111111111,0.9241379310344827,0.9257425742574258,0.941834451901566,0.949438202247191,0.935546875,0.9155844155844156,0.859504132231405,0.0,0.963076923076923,0.9501466275659824
sympt_now_loss_of_taste,0.8092369477911646,0.7704918032786885,0.7540106951871658,0.7730627306273062,0.8108108108108109,0.8258426966292135,0.7836990595611285,0.8725212464589235,0.9178885630498533,0.963076923076923,0.0,0.4376657824933687
sympt_now_loss_of_smell,0.8146718146718147,0.8130434782608695,0.7628865979381443,0.775,0.8095238095238095,0.8447368421052631,0.7776073619631901,0.8973684210526316,0.9285714285714286,0.9501466275659824,0.4376657824933687,0.0
