,0,1,symptom_name_raw
0,4.285317,-4.4950957,sympt_now_fever
1,2.4399447,-4.0331306,sympt_now_muscle_ache_myalgia
2,3.667834,-4.070449,sympt_now_fatigue_weakness
3,4.5504007,-3.5189,sympt_now_sore_throat
4,5.22922,-3.6618176,sympt_now_cough
5,2.750478,-4.1759987,sympt_now_shortness_of_breath
6,4.9204855,-4.274676,sympt_now_headache
7,1.4231331,-4.1227636,sympt_now_nausea_vomiting
8,1.1801225,-3.6538877,sympt_now_abdominal_pain
9,0.7281436,-4.1130958,sympt_now_diarrhoea
10,3.0162039,-3.2239292,sympt_now_loss_of_taste
11,3.5115948,-3.0178812,sympt_now_loss_of_smell
