"","symptom","with","proportion_fromsymptomatics","proportion_frompositives","mean_age","median_age","std_age","healthcondition","prop_withhealthcondition"
"1","sympt_now_fever","365","35.47","7.63","11","12 (8-15)","4.29894315366538","40",11
"2","sympt_now_muscle_ache_myalgia","211","20.51","4.41","13","14 (11-16)","3.3992445428319","27",13
"3","sympt_now_fatigue_weakness","390","37.9","8.15","13","14 (11-16)","3.89305742541679","46",12
"4","sympt_now_sore_throat","345","33.53","7.21","13","14 (11-16)","3.36540519703185","27",8
"5","sympt_now_cough","434","42.18","9.07","12","13 (9-15)","4.08934355458442","48",11
"6","sympt_now_shortness_of_breath","99","9.62","2.07","14","15 (12-16)","2.71773912609995","16",16
"7","sympt_now_headache","470","45.68","9.82","13","14 (11-16)","3.3831362448943","47",10
"8","sympt_now_nausea_vomiting","122","11.86","2.55","12","13 (10.25-15)","3.77253424532683","14",11
"9","sympt_now_abdominal_pain","99","9.62","2.07","11","12 (9-15)","4.15063706976784","17",17
"10","sympt_now_diarrhoea","60","5.83","1.25","11","12 (9-15)","4.53374042705215","6",10
"11","sympt_now_loss_of_taste","208","20.21","4.35","14","15 (13-16)","2.98568599896734","18",9
"12","sympt_now_loss_of_smell","223","21.67","4.66","14","15 (13-16)","2.69003616900492","26",12
