,0,1,symptom_name_raw
0,-0.56299925,-0.5463728,cough
1,-0.74301296,-0.36966687,fever
2,-0.18008448,-9.082993,altered_consciousness
3,1.5137448,-8.04926,diarrhoea
4,1.0201739,-7.6347313,fatigue
5,6.036881,2.4657404,headache
6,2.951186,-1.8518721,joint_pain
7,1.2396523,-8.213938,loss_of_appetite
8,3.04999,-1.9596733,muscle_ache
9,0.9277521,-8.762199,nausea
10,0.23833692,-9.36144,nose_bleed
11,1.7760758,-7.541646,rash
12,3.3870964,12.984337,runny_nose
13,-0.3378202,-9.473543,seizures
14,3.70626,12.660936,sneezing
15,6.4166965,2.8715887,sore_throat
16,0.6000043,-8.514376,vomiting
17,6.145915,2.5715826,loss_of_smell_or_taste
