,0,1,symptom_name_raw
0,4.4862485,-2.0127027,cough
1,4.7306194,-1.8296846,fever
2,0.79104805,-7.6598163,altered_consciousness
3,0.93484765,-5.965127,diarrhoea
4,2.054554,-4.766187,fatigue
5,3.8798704,-2.2915885,headache
6,2.5668654,-3.9292064,joint_pain
7,1.7113997,-5.227254,loss_of_appetite
8,2.3748631,-4.2268333,muscle_ache
9,0.7444787,-6.2777715,nausea
10,0.6719613,-8.328541,nose_bleed
11,1.036928,-7.886566,rash
12,-0.29497403,5.5270524,runny_nose
13,0.22925507,-7.863572,seizures
14,-0.21463571,5.446795,sneezing
15,3.5111237,-2.010426,sore_throat
16,0.79041874,-6.8168545,vomiting
17,4.0071297,-1.5706239,loss_of_smell_or_taste
