,0,1,symptom_name_raw
0,-1.346108,-0.6288871,cough
1,-0.868213,-0.6806592,fever
2,-0.1173384,3.5350337,altered_consciousness
3,-0.4697054,1.6984303,diarrhoea
4,-0.22406213,0.49860612,fatigue
5,-0.16010459,-0.5625507,headache
6,0.54784554,-0.061100546,joint_pain
7,-1.0258981,2.0722914,loss_of_appetite
8,0.26377943,-0.35815212,muscle_ache
9,-0.44311464,2.917792,nausea
10,-0.72978216,3.3929117,nose_bleed
11,-0.2718678,1.9847072,rash
12,-1.825111,-0.12745,runny_nose
13,0.43046498,3.6317964,seizures
14,-1.9143659,0.46494085,sneezing
15,-1.1291915,0.0912252,sore_throat
16,0.083540455,2.7197897,vomiting
17,0.22051854,-0.92852145,loss_of_smell_or_taste
