,0,1,symptom_name_raw
0,5.1462235,-7.4930525,fatigue
1,2.2043898,-8.688,abdominal_pain
2,3.8722737,-7.7194614,chest_pain
3,0.8304113,-9.150016,sore_throat
4,4.4530725,-7.1501446,shortness_of_breath
5,2.001749,-7.978099,skipped_meals
6,3.109363,-8.74899,smell
7,3.665123,-8.238366,unusual_muscle_pains
8,1.2583878,-8.709838,headache
9,0.036209814,-9.190467,hoarse_voice
10,4.938212,-6.8651114,delirium
11,1.4930382,-7.955441,diarrhoea
12,0.8056831,-8.218647,fever
13,0.11539159,-8.652643,persistent_cough
