,0,1,symptom_name_raw
0,3.4434414,-7.9668818,fatigue
1,1.3764291,-8.035789,abdominal_pain
2,1.8376944,-8.772182,chest_pain
3,0.66317415,-9.671855,sore_throat
4,3.376357,-7.2471085,shortness_of_breath
5,3.0484912,-8.7799225,skipped_meals
6,1.4488178,-9.297502,smell
7,2.4001722,-9.269891,unusual_muscle_pains
8,0.890819,-8.758911,headache
9,0.21186008,-9.411165,hoarse_voice
10,3.8889532,-8.005511,delirium
11,0.82577413,-7.9535336,diarrhoea
12,2.3622892,-8.263974,fever
13,1.762132,-9.908233,persistent_cough
