,tested_at_week,mean_age,std_age,count
0,1,35.34661977885679,10.491593551933224,141899
1,2,35.938928678646484,10.333683923722164,116585
2,3,35.983649685570875,10.233346558765485,86665
3,4,35.971521303337894,10.133097533267563,62854
4,5,35.84957402619421,10.13144957848402,47186
5,6,35.88187706763782,10.088861638150762,35971
6,7,35.76170101577555,10.102407712022352,30617
7,8,35.77284381089119,10.111652208630405,19502
8,9,35.32506745470898,10.143123419036703,15566
9,10,35.31406089633938,10.070364391728585,14615
10,11,35.52862809669935,9.752196511958761,13361
11,12,35.64209836065574,9.747966979544529,7625
12,13,33.303030303030305,10.40277862065242,33
13,48,36.79192546583851,10.22588514553084,2576
14,49,36.626666666666665,10.12829408955833,42225
15,50,36.21923295493922,10.165982695942317,72147
16,51,35.98247974857244,10.127921961583786,112955
17,52,36.25711736768912,10.213905817797617,152444
18,53,35.38279503141292,10.352322233290026,173973
