,tested_at_week,mean_age,std_age,count
0,1,10.417565666041275,5.352998580604615,17056
1,2,9.612018707156128,5.3901617081530775,15609
2,3,9.234537760416666,5.361832917202056,12288
3,4,9.260590770524546,5.375424127846439,9513
4,5,9.167649074708704,5.306534108771015,7295
5,6,9.081774452164618,5.388860661714257,5613
6,7,9.446428571428571,5.358591895202567,4760
7,8,9.650247831474598,5.275553297747712,3228
8,9,9.960902733630006,5.232714477824544,3146
9,10,9.67,4.932090053985409,3700
10,11,10.057137129109863,4.471120617309996,4988
11,12,10.550473186119874,4.236012575211244,2536
12,48,11.477971737323358,4.3436190936990915,1203
13,49,11.453511813563422,4.346424648216339,12401
14,50,11.510505363264404,4.396919423148057,18086
15,51,11.146113989637305,4.649830282703789,20265
16,52,10.913556391742093,5.015557012611493,19666
17,53,10.889436551657486,5.07731282616415,20694
