,0,1,symptom_name_raw
0,10.006661,0.8996229,cough
1,9.925936,1.2498025,fever
2,2.7661343,4.60591,altered_consciousness
3,3.107688,2.831482,diarrhoea
4,2.4045708,2.807381,fatigue
5,10.03129,1.69753,headache
6,12.998212,11.456195,joint_pain
7,2.5809946,3.242506,loss_of_appetite
8,12.701303,11.164673,muscle_ache
9,2.4382582,4.035886,nausea
10,-10.160473,-4.271529,nose_bleed
11,3.3742206,2.5823243,rash
12,-9.957223,-4.0684204,runny_nose
13,3.1289065,4.821279,seizures
14,-10.410758,-4.5210843,sneezing
15,9.095199,1.8019558,sore_throat
16,2.8713238,3.8188727,vomiting
17,9.77206,1.9753219,loss_of_smell_or_taste
