,0,1,symptom_name_raw
0,9.206931,5.502765,cough
1,4.553923,4.7690015,fever
2,4.4644933,0.65594465,altered_consciousness
3,3.8665202,3.9003978,diarrhoea
4,4.3521667,4.5511456,fatigue
5,9.020785,5.193063,headache
6,8.214447,5.6458244,joint_pain
7,3.8383565,4.1281176,loss_of_appetite
8,8.615029,5.7798285,muscle_ache
9,3.867115,2.0919175,nausea
10,4.4296346,1.1000782,nose_bleed
11,4.2558618,0.5413013,rash
12,-6.0851912,1.3828655,runny_nose
13,4.981134,0.70310706,seizures
14,-6.373766,1.0910454,sneezing
15,9.030974,4.628949,sore_throat
16,4.0881796,1.8291433,vomiting
17,3.5496728,4.4434524,loss_of_smell_or_taste
