,0,1,symptom_name_raw
0,-4.6171722,0.34540787,cough
1,-4.8523364,-0.16837755,fever
2,-2.4775622,-2.2261932,altered_consciousness
3,-2.3994012,-0.61760056,diarrhoea
4,-3.9230106,-0.98751086,fatigue
5,-4.5747795,-0.7961473,headache
6,-3.963441,-1.9311265,joint_pain
7,-2.6950004,-1.032658,loss_of_appetite
8,-4.2232265,-1.7109572,muscle_ache
9,-2.7942905,-1.6556643,nausea
10,-1.6684517,-1.1186172,nose_bleed
11,-2.3714054,-0.20797256,rash
12,-3.631382,0.51532173,runny_nose
13,-1.7540255,-2.094049,seizures
14,-3.0596566,0.25943223,sneezing
15,-4.172676,-0.13162656,sore_throat
16,-2.182951,-1.6345892,vomiting
17,-5.0909095,-0.91665477,loss_of_smell_or_taste
